event,location,address,city,start_date,end_date,start_time,end_time
Ayr Races,Ayr Racecourse,Whitletts Road,Ayr,17 September 2020,19 September 2021,12:00 pm,5:00 pm
Rangers v Hamilton Academicals,Ibrox Stadium,150 Edmiston Drive,Glasgow,6 November 2020,6 August 2021,7:30 pm,9:30 pm
Rangers v Motherwell,Ibrox Stadium,150 Edmiston Drive,Glasgow,19 December 2020,19 December 2021,3:00 pm,5:00 pm
Rangers v Celtic,Ibrox Stadium,150 Edmiston Drive,Glasgow,January 2,January 2,12:30 pm,3:00 pm
Hibs v Livingstone,Hibernian Fc,Easter Road,Edinburgh,January 2,January 2,3:00 pm,5:00 pm
Newcastle v Leicester,St James Park,Barrack Road,Newcastle,January 2,January 2,3:00 pm,5:00 pm
Man Utd v Aston Villa,Manchester United Football Club,Old Trafford,Manchester,January 2,January 2,3:00 pm,5:00 pm
Man City v Brighton,Manchester City Football Club,Etihad Stadium,Manchester,January 13,January 13,8:00 pm,10:00 pm
Hibs v Kilmarnock,Hibernian Fc,Easter Road,Edinburgh,January 16,January 16,3:00 pm,5:00 pm
Man City v Crystal Palace,Manchester City Football Club,Etihad Stadium,Manchester,January 26,January 26,8:00 pm,10:00 pm
Man Utd v Sheffield United,Manchester United Football Club,Old Trafford,Manchester,January 26,January 26,8:00 pm,10:00 pm
Hibs v Rangers,Hibernian Fc,Easter Road,Edinburgh,January 27,January 27,7:30 pm,9:30 pm
